,longitude,latitude,time_date,tweet,hashtags,follower_count,retweeted_status,retweet_count,weird,strange,weirder
117,-117.565,35.662,2019-07-22 21:45:31,"2.1 magnitude #earthquake. 7 mi from Ridgecrest, CA, #UnitedStates https://t.co/tHiELLsLxZ","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
118,-117.469,35.606,2019-07-22 20:55:05,"2.0 magnitude #earthquake. 18 km from #Ridgecrest, CA, ###UnitedStates https://t.co/Imrri6ASxp","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}","{'text': 'UnitedStates', 'indices': [57, 70]}",,,,
119,-117.469,35.606,2019-07-22 20:55:04,"2.0 magnitude #earthquake. 11 mi from #Ridgecrest, CA, ##UnitedStates https://t.co/D48I85HlNP","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}","{'text': 'UnitedStates', 'indices': [56, 69]}",,,,
120,-117.563,35.712,2019-07-22 20:55:04,"1.5 magnitude #earthquake. 14 km from Ridgecrest, #CA, #UnitedStates https://t.co/ghgZAsTMZH","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,
121,-117.563,35.712,2019-07-22 20:55:04,"1.5 magnitude #earthquake. 9 mi from Ridgecrest, CA, #UnitedStates https://t.co/lXFjGCi6kr","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
122,-117.566,35.712,2019-07-22 20:45:06,"1.8 magnitude #earthquake. 14 km from Ridgecrest, #CA, United States https://t.co/lp0JWpLtTa","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}",,,,,
123,-117.566,35.712,2019-07-22 20:45:06,"1.8 magnitude #earthquake. 9 mi from Ridgecrest, #CA, United States https://t.co/q377sWUiAg","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}",,,,,
124,-117.539,35.662,2019-07-22 20:05:05,"1.7 magnitude #earthquake. 13 km from Ridgecrest, #CA, United States https://t.co/xF2rSTV7nt","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}",,,,,
125,-117.539,35.662,2019-07-22 20:05:04,"1.7 magnitude #earthquake. 8 mi from Ridgecrest, #CA, United States https://t.co/FtCMCWglip","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [49, 52]}",,,,,
126,-117.588,35.639,2019-07-22 18:55:05,"2.2 magnitude #earthquake. 8 km from Ridgecrest, CA, ##UnitedStates https://t.co/S9PenKwyZG","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
127,-117.588,35.639,2019-07-22 18:55:04,"2.2 magnitude #earthquake. 5 mi from Ridgecrest, CA, #UnitedStates https://t.co/nspCybI73h","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [53, 66]}",,,,,
128,-117.63,35.801,2019-07-22 18:40:05,"2.5 magnitude #earthquake. 20 km from Ridgecrest, CA, ##UnitedStates https://t.co/JPQIKIwlkB","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,,
129,-117.63,35.801,2019-07-22 18:40:04,"2.5 magnitude #earthquake. 13 mi from Ridgecrest, CA, #UnitedStates https://t.co/AbTup6lAhR","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
130,-117.6298333,35.8008333,2019-07-22 18:39:34,"Ml 2.48 earthquake (automatic) occured at 2019-07-22T18:34:30 UTC, 20km NNE of Ridgecrest, CA https://t.co/ROGnAjvnS0",,,,,,,
131,-117.481,35.62,2019-07-22 18:35:05,"1.9 magnitude #earthquake. 17 km from Ridgecrest, CA, ###UnitedStates https://t.co/T6Qasnw4I8","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [56, 69]}",,,,,
132,-117.481,35.62,2019-07-22 18:35:04,"1.9 magnitude #earthquake. 11 mi from Ridgecrest, CA, ##UnitedStates https://t.co/elCpJSu6Ne","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,,
133,-117.639,35.816,2019-07-22 15:35:05,"1.6 magnitude #earthquake. 22 km from Ridgecrest, #CA, #UnitedStates https://t.co/6Q2GM7r0Um","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,
134,-117.639,35.816,2019-07-22 15:35:05,"1.6 magnitude #earthquake. 13 mi from Ridgecrest, #CA, #UnitedStates https://t.co/3PmIsQiN4I","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'CA', 'indices': [50, 53]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,
135,-117.649,35.822,2019-07-22 15:35:04,"1.5 magnitude #earthquake. 22 km from #Ridgecrest, CA, #UnitedStates https://t.co/QZ5FVEsdui","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'Ridgecrest', 'indices': [38, 49]}","{'text': 'UnitedStates', 'indices': [55, 68]}",,,,
136,-117.649,35.822,2019-07-22 15:35:04,"1.5 magnitude #earthquake. 14 mi from Ridgecrest, CA, #UnitedStates https://t.co/lUcAHERQSU","{'text': 'earthquake', 'indices': [14, 25]}","{'text': 'UnitedStates', 'indices': [54, 67]}",,,,,
