created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
Thu Sep 06 05:31:02 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:20:15 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:18:57 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:15:28 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:14:56 +0000 2018,1,"['DeltaFire', 'CarrFire', 'HirzFire']",,,1,@EPN473 #DeltaFire will physically link #CarrFire with #HirzFire to create new biggest fire in CA history if… https://t.co/hk00tPVEAa
Thu Sep 06 05:13:22 +0000 2018,0,['carrfire'],,,0,"What’s left of a classic truck. 
Side of the road on the way to Whiskeytown. It’s really terrible to see. #carrfire… https://t.co/DCu1FtUMgy"
Thu Sep 06 05:10:18 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 05:04:03 +0000 2018,0,"['Update', 'CarrFire']",,,0,"RT @watchingLA: #Update on the baby bear cub 🙏❤🐻
#CarrFire
https://t.co/hSLbWP1p4m"
Thu Sep 06 04:59:48 +0000 2018,12,"['Update', 'CarrFire']",,,4,"#Update on the baby bear cub 🙏❤🐻
#CarrFire
https://t.co/hSLbWP1p4m"
Thu Sep 06 04:59:18 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:48:58 +0000 2018,0,[],,,0,Three off-duty Redding firefighters and some volunteers came together to build a new fence in honor of a firefighte… https://t.co/GKie07vv6j
Thu Sep 06 04:45:50 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:44:59 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:43:45 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:43:38 +0000 2018,0,['CarrFire'],,,0,@SimplyRealMoms So sorry. My mother &amp; father in-law lost theirs in the #CarrFire. It’s horrible. I will keep them in my prayers tonight.
Thu Sep 06 04:40:40 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:40:38 +0000 2018,0,"['CarrFire', 'FergusonFire', 'riverfire', 'CAGov', 'California', 'MAGA']",,,0,"RT @MAGAToday1: Vote John Cox for California Governor! 

@TheRealJohnHCox #CarrFire #FergusonFire #riverfire #CAGov #California #MAGA https…"
Thu Sep 06 04:40:22 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:39:14 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:37:26 +0000 2018,0,"['CarrFire', 'DeltaFire']",,,0,RT @jeffwitt: Ugh... this is just a few miles to the north of us. We need rain! #CarrFire Is still smoldering and now #DeltaFire ... pray f…
Thu Sep 06 04:37:12 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:37:04 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:36:55 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:32:56 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:32:54 +0000 2018,0,['DeltaFire'],,,0,RT @ShastaTrinityNF: Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For more…
Thu Sep 06 04:32:35 +0000 2018,22,['DeltaFire'],,,27,Here is a map showing the approximate location of the #DeltaFire using the MODIS Active Fire Mapping Program. For m… https://t.co/ok5V3MHrR6
Thu Sep 06 04:31:24 +0000 2018,0,"['CarrFire', 'FergusonFire', 'riverfire', 'CAGov', 'California', 'MAGA']",,,0,"RT @MAGAToday1: Vote John Cox for California Governor! 

@TheRealJohnHCox #CarrFire #FergusonFire #riverfire #CAGov #California #MAGA https…"
Thu Sep 06 04:19:54 +0000 2018,0,"['CarrFire', 'DeltaFire']",,,0,RT @jeffwitt: Ugh... this is just a few miles to the north of us. We need rain! #CarrFire Is still smoldering and now #DeltaFire ... pray f…
Thu Sep 06 04:13:08 +0000 2018,0,['DeltaFire'],,,0,"RT @jaclyncosgrove: Carol Underhill, @ShastaTrinityNF public affairs officer, told me that the #DeltaFire was initially two acres but has g…"
