,created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
1821,Tue Jan 29 00:16:51 +0000 2019,0,['CampFire'],,,0,"RT @FitzTheReporter: VIDEO: Activists read the 88 names of #CampFire's dead, in bid to shame CA public utilities commission before ""bailout…"
1822,Tue Jan 29 00:15:50 +0000 2019,0,[],,,0,"RT @CaliforniaDTSC: DTSC and @EPA have cleared household hazardous waste from nearly 13,000 of the 13,500 residential and commercial proper…"
1823,Tue Jan 29 00:15:17 +0000 2019,0,[],,,0,"RT @TeamRubicon: Operation Update: TR volunteers will be returning to Paradise, CA to continue recovery efforts as a result of the recent #…"
1824,Tue Jan 29 00:15:16 +0000 2019,0,['CampFire'],,,0,"RT @DavidJKennedyWF: @WellsFargo’s Mobile Response Unit has helped nearly 800 customers impacted by the #CampFire in Paradise, CA. We have…"
1825,Tue Jan 29 00:15:03 +0000 2019,2,['outdoor'],,,0,"Hope Everyone had a start of the week.
Follow me for some Outdoor Gear Deals!!
https://t.co/FfsckdUopc
#outdoor… https://t.co/kfdSRqgYRa"
1826,Tue Jan 29 00:10:08 +0000 2019,0,[],,,0,"RT @coileanomurchu: Climate defenders disrupting the CA Public Utility Commission last minute emergency mtg, called over the wknd. Great sh…"
1827,Tue Jan 29 00:09:26 +0000 2019,0,"['pfaaf', 'campfire']",,,0,"#pfaaf #campfire my name is monique and this is our story, please help us to start over.
https://t.co/AAylM14Ecs"
1828,Tue Jan 29 00:06:48 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1829,Tue Jan 29 00:05:15 +0000 2019,1,['CampFire'],,,0,I’ve been working w/ @UnitedWayNorCal to showcase how they are helping families impacted by the #CampFire. From dis… https://t.co/q5MIABWBZh
1830,Tue Jan 29 00:05:01 +0000 2019,0,['CampFire'],,,0,RT @ChaliceGarden: Want to help #CampFire survivors find their beloved kitties from wherever you are? 630 verified! It works! Detailed sear…
1831,Tue Jan 29 00:04:04 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1832,Tue Jan 29 00:04:03 +0000 2019,0,['CampFire'],,,0,"RT @thejdmorris: As they’ve done before, anti-PG&amp;E protesters read off names of #CampFire victims to the @californiapuc today. Later they c…"
1833,Tue Jan 29 00:03:20 +0000 2019,1,['CampFire'],,,1,"@WellsFargo’s Mobile Response Unit has helped nearly 800 customers impacted by the #CampFire in Paradise, CA. We ha… https://t.co/VXMfJAS5Ro"
1834,Tue Jan 29 00:02:42 +0000 2019,0,"['Paradise', 'furparent']",,,0,RT @Jasamsdestiny: This floofy boy is a #Paradise baby but has ended up in Colorado.  Person will gladly return it if #furparent is ID'd.…
1835,Tue Jan 29 00:02:09 +0000 2019,0,['CampFire'],,,0,RT @WCKitchen: WCK’s @SamBloch1 reports from our free pop-up restaurant in Chico where we are serving those displaced by the #CampFire! #Ch…
1836,Tue Jan 29 00:02:08 +0000 2019,0,['CampFire'],,,0,RT @WCKitchen: WCK’s @SamBloch1 reports from our free pop-up restaurant in Chico where we are serving those displaced by the #CampFire! #Ch…
1837,Tue Jan 29 00:02:05 +0000 2019,0,['CampFire'],,,0,RT @WCKitchen: WCK’s @SamBloch1 reports from our free pop-up restaurant in Chico where we are serving those displaced by the #CampFire! #Ch…
1838,Tue Jan 29 00:01:37 +0000 2019,0,[],,,0,"RT @joshcozine: A protest is ongoing, lining the west side of Fair Street across from the Silver Dollar Fairgrounds which has been acting a…"
1839,Tue Jan 29 00:00:17 +0000 2019,0,['CampFire'],,,0,RT @WCKitchen: WCK’s @SamBloch1 reports from our free pop-up restaurant in Chico where we are serving those displaced by the #CampFire! #Ch…
1840,Tue Jan 29 00:00:16 +0000 2019,0,['ParadiseStrong'],,,1,Limited custom Callaway Truvis Chrome Soft Balls with #ParadiseStrong. $10 of each sale will go to the Red Cross on… https://t.co/ohSsQdE4ig
1841,Tue Jan 29 00:00:16 +0000 2019,0,['ParadiseStrong'],,,0,Limited custom Callaway Truvis Chrome Soft Balls with #ParadiseStrong. $10 of each sale will go to the Red Cross on… https://t.co/O9GDVvOKQ5
1842,Mon Jan 28 23:59:46 +0000 2019,0,[],,,0,"RT @joshcozine: A protest is ongoing, lining the west side of Fair Street across from the Silver Dollar Fairgrounds which has been acting a…"
